지역명,동,평균
서울특별시 성북구 월곡2동,월곡2동,0.229869658
서울특별시 성북구 장위1동,장위1동,0.221450165
서울특별시 성북구 장위2동,장위2동,0.138898646
서울특별시 성북구 장위3동,장위3동,0.132902813
서울특별시 성북구 성북동,성북동,0.152430654
서울특별시 성북구 삼선동,삼선동,0.215865174
서울특별시 성북구 동선동,동선동,0.177487823
서울특별시 성북구 종암동,종암동,0.315508081
서울특별시 성북구 석관동,석관동,0.38285252
서울특별시 강북구 번1동,번1동,0.22519121
서울특별시 강북구 번2동,번2동,0.335009467
서울특별시 강북구 번3동,번3동,0.453613228
서울특별시 강북구 수유1동,수유1동,0.392712518
서울특별시 강북구 수유2동,수유2동,0.251915813
서울특별시 강북구 수유3동,수유3동,0.245897333
서울특별시 강북구 삼양동,삼양동,0.359259048
서울특별시 강북구 미아동,미아동,0.258566246
서울특별시 강북구 송중동,송중동,0.334234744
서울특별시 강북구 송천동,송천동,0.339583757
서울특별시 강북구 삼각산동,삼각산동,0.320444523
서울특별시 강북구 우이동,우이동,0.199799764
서울특별시 강북구 인수동,인수동,0.544833236
서울특별시 도봉구 쌍문1동,쌍문1동,0.249099975
서울특별시 도봉구 쌍문2동,쌍문2동,0.210508411
서울특별시 도봉구 쌍문3동,쌍문3동,0.201298219
서울특별시 도봉구 쌍문4동,쌍문4동,0.124645664
서울특별시 도봉구 방학1동,방학1동,0.309960677
서울특별시 도봉구 방학2동,방학2동,0.261183993
서울특별시 도봉구 방학3동,방학3동,0.192223835
서울특별시 도봉구 창1동,창1동,0.229150649
서울특별시 도봉구 창2동,창2동,0.27955116
서울특별시 도봉구 창3동,창3동,0.158006563
서울특별시 도봉구 창4동,창4동,0.22374128
서울특별시 도봉구 창5동,창5동,0.214300097
서울특별시 도봉구 도봉1동,도봉1동,0.29669674
서울특별시 도봉구 도봉2동,도봉2동,0.398530541
서울특별시 노원구 월계1동,월계1동,0.20667593
서울특별시 노원구 월계2동,월계2동,0.486622655
서울특별시 노원구 월계3동,월계3동,0.446175844
서울특별시 노원구 공릉2동,공릉2동,0.322349012
서울특별시 노원구 하계1동,하계1동,0.653159651
서울특별시 노원구 하계2동,하계2동,0.212395802
서울특별시 노원구 중계본동,중계본동,0.125457131
서울특별시 노원구 중계1동,중계1동,0.168796338
서울특별시 노원구 중계4동,중계4동,0.321032378
서울특별시 노원구 상계1동,상계1동,0.530735893
서울특별시 노원구 상계2동,상계2동,0.244707472
서울특별시 노원구 상계5동,상계5동,0.276354358
서울특별시 노원구 상계8동,상계8동,0.180474561
서울특별시 노원구 상계9동,상계9동,0.141930186
서울특별시 노원구 상계10동,상계10동,0.091689856
서울특별시 노원구 상계3·4동,상계3·4동,0.379022506
서울특별시 노원구 상계6·7동,상계6·7동,0.566713417
서울특별시 노원구 중계2·3동,중계2·3동,0.739616181
서울특별시 노원구 공릉1동,공릉1동,0.462975337
서울특별시 은평구 녹번동,녹번동,0.319879969
서울특별시 은평구 불광1동,불광1동,0.403647842
서울특별시 은평구 갈현1동,갈현1동,0.239425394
서울특별시 은평구 갈현2동,갈현2동,0.26475493
서울특별시 은평구 구산동,구산동,0.381103802
서울특별시 은평구 대조동,대조동,0.300957389
서울특별시 은평구 응암1동,응암1동,0.277276207
서울특별시 은평구 응암2동,응암2동,0.216194243
서울특별시 은평구 신사1동,신사1동,0.309922596
서울특별시 은평구 신사2동,신사2동,0.181038976
서울특별시 은평구 증산동,증산동,0.145284929
서울특별시 은평구 수색동,수색동,0.14481239
서울특별시 은평구 진관동,진관동,0.47637929
서울특별시 은평구 불광2동,불광2동,0.350932865
서울특별시 은평구 응암3동,응암3동,0.286209916
서울특별시 은평구 역촌동,역촌동,0.634572039
서울특별시 서대문구 천연동,천연동,0.157811633
서울특별시 서대문구 홍제1동,홍제1동,0.186535764
서울특별시 서대문구 홍제3동,홍제3동,0.180317906
서울특별시 서대문구 홍제2동,홍제2동,0.139738195
서울특별시 서대문구 홍은1동,홍은1동,0.199205576
서울특별시 서대문구 홍은2동,홍은2동,0.313104572
서울특별시 서대문구 남가좌1동,남가좌1동,0.087638768
서울특별시 서대문구 남가좌2동,남가좌2동,0.229373767
서울특별시 서대문구 북가좌1동,북가좌1동,0.140108967
서울특별시 서대문구 북가좌2동,북가좌2동,0.309423518
서울특별시 서대문구 충현동,충현동,0.190256944
서울특별시 서대문구 북아현동,북아현동,0.125577309
서울특별시 서대문구 신촌동,신촌동,0.381304687
서울특별시 서대문구 연희동,연희동,0.399570296
서울특별시 마포구 용강동,용강동,0.122129484
서울특별시 마포구 대흥동,대흥동,0.114913674
서울특별시 마포구 염리동,염리동,0.114225303
서울특별시 마포구 신수동,신수동,0.131890585
서울특별시 마포구 서교동,서교동,0.205265624
서울특별시 마포구 합정동,합정동,0.122278722
서울특별시 마포구 망원1동,망원1동,0.214315151
서울특별시 마포구 망원2동,망원2동,0.174259882
서울특별시 마포구 연남동,연남동,0.129289946
서울특별시 마포구 성산1동,성산1동,0.163737268
서울특별시 마포구 성산2동,성산2동,0.60326604
