동,승차건수
풍무동,31
암사2동,31
김포1동,29
용강동,29
성수2가1동,28
개포4동,28
하안1동,26
송포동,26
원효로2동,26
고봉동,25
의정부2동,24
오남읍,24
화도읍,24
대림2동,22
녹양동,20
북가좌1동,20
반포1동,20
하안2동,19
중곡1동,19
서현1동,18
행주동,18
풍납1동,18
반포2동,18
면목5동,18
장위3동,17
등촌2동,16
사당5동,16
광명5동,16
옥수동,16
방배본동,15
조안면,15
오정동,15
을지로동,14
도곡2동,13
일산2동,13
정자1동,13
금호4가동,12
철산2동,12
마두1동,12
식사동,12
와부읍,11
원효로1동,11
신당6동,11
연남동,11
이촌2동,11
도당동,11
덕풍2동,10
신곡1동,10
범계동,10
용문동,10
수택1동,9
장흥면,9
문정1동,9
영종동,8
가락1동,8
상2동,8
신도동,7
사당1동,7
중3동,7
암사3동,7
삼평동,7
의정부3동,7
염리동,6
회천2동,6
가회동,6
조원동,6
학온동,6
남현동,5
잠실4동,5
사당4동,5
중4동,5
망우3동,5
운중동,5
방이1동,5
가락2동,5
명륜3가동,5
시흥3동,5
신당2동,5
관양2동,5
행신1동,5
송파2동,5
구미동,5
심곡2동,4
석수2동,4
의정부1동,4
이매1동,4
능곡동,4
효자동,4
행신2동,4
용산2가동,4
안양1동,4
전농1동,4
지금동,4
고강본동,4
도촌동,4
성사1동,3
덕풍3동,3
범박동,3
철산1동,3
단대동,3
관산동,3
가능1동,3
신수동,3
심곡1동,3
양주1동,2
화전동,2
역곡3동,2
광명2동,2
광명3동,2
호계3동,2
인창동,2
원신동,2
