지역명,동,평균
서울특별시 성북구 성북동,성북동,82.66666667
서울특별시 성북구 삼선동,삼선동,107.5
서울특별시 성북구 동선동,동선동,94.66666667
서울특별시 성북구 종암동,종암동,151.3333333
서울특별시 성북구 석관동,석관동,195.3333333
서울특별시 강북구 번1동,번1동,117
서울특별시 강북구 번2동,번2동,139.5
서울특별시 강북구 번3동,번3동,193.3333333
서울특별시 강북구 수유1동,수유1동,201.3333333
서울특별시 강북구 수유2동,수유2동,128.3333333
서울특별시 강북구 수유3동,수유3동,125.8333333
서울특별시 강북구 삼양동,삼양동,185.6666667
서울특별시 강북구 미아동,미아동,135.5
서울특별시 강북구 송중동,송중동,160.6666667
서울특별시 강북구 송천동,송천동,172.6666667
서울특별시 강북구 삼각산동,삼각산동,148
서울특별시 강북구 우이동,우이동,104.3333333
서울특별시 강북구 인수동,인수동,188.1666667
서울특별시 도봉구 쌍문1동,쌍문1동,125
서울특별시 도봉구 쌍문2동,쌍문2동,111.1666667
서울특별시 도봉구 쌍문3동,쌍문3동,87.5
서울특별시 도봉구 쌍문4동,쌍문4동,68.33333333
서울특별시 도봉구 방학1동,방학1동,139.6666667
서울특별시 도봉구 방학2동,방학2동,138
서울특별시 도봉구 방학3동,방학3동,97.83333333
서울특별시 도봉구 창1동,창1동,105.5
서울특별시 도봉구 창2동,창2동,146.8333333
서울특별시 도봉구 창3동,창3동,85
서울특별시 도봉구 창4동,창4동,105.8333333
서울특별시 도봉구 창5동,창5동,109
서울특별시 도봉구 도봉1동,도봉1동,151
서울특별시 도봉구 도봉2동,도봉2동,156.5
서울특별시 노원구 월계1동,월계1동,91.83333333
서울특별시 노원구 월계2동,월계2동,203.6666667
서울특별시 노원구 월계3동,월계3동,192
서울특별시 노원구 공릉2동,공릉2동,150.1666667
서울특별시 노원구 하계1동,하계1동,190.8333333
서울특별시 노원구 하계2동,하계2동,108.5
서울특별시 노원구 중계본동,중계본동,67.5
서울특별시 노원구 중계1동,중계1동,78.5
서울특별시 노원구 중계4동,중계4동,147.6666667
서울특별시 노원구 상계1동,상계1동,236.1666667
서울특별시 노원구 상계2동,상계2동,87.16666667
서울특별시 노원구 상계5동,상계5동,145.5
서울특별시 노원구 상계8동,상계8동,97
서울특별시 노원구 상계9동,상계9동,77.33333333
서울특별시 노원구 상계10동,상계10동,51.33333333
서울특별시 노원구 상계3·4동,상계3·4동,178.5
서울특별시 노원구 상계6·7동,상계6·7동,141
서울특별시 노원구 중계2·3동,중계2·3동,321.6666667
서울특별시 노원구 공릉1동,공릉1동,213.6666667
서울특별시 은평구 녹번동,녹번동,165.3333333
서울특별시 은평구 불광1동,불광1동,207.8333333
서울특별시 은평구 갈현1동,갈현1동,126.8333333
서울특별시 은평구 갈현2동,갈현2동,138.5
서울특별시 은평구 구산동,구산동,148.1666667
서울특별시 은평구 대조동,대조동,155.1666667
서울특별시 은평구 응암1동,응암1동,139.6666667
서울특별시 은평구 응암2동,응암2동,93.33333333
서울특별시 은평구 신사1동,신사1동,141.5
서울특별시 은평구 신사2동,신사2동,97.16666667
서울특별시 은평구 증산동,증산동,78.5
서울특별시 은평구 수색동,수색동,78.83333333
서울특별시 은평구 진관동,진관동,212.6666667
서울특별시 은평구 불광2동,불광2동,182.5
서울특별시 은평구 응암3동,응암3동,147
서울특별시 은평구 역촌동,역촌동,224.6666667
서울특별시 서대문구 천연동,천연동,85.16666667
서울특별시 서대문구 홍제1동,홍제1동,100.1666667
서울특별시 서대문구 홍제3동,홍제3동,97
서울특별시 서대문구 홍제2동,홍제2동,76.33333333
서울특별시 서대문구 홍은1동,홍은1동,106.3333333
서울특별시 서대문구 홍은2동,홍은2동,138.8333333
서울특별시 서대문구 남가좌1동,남가좌1동,49.33333333
서울특별시 서대문구 남가좌2동,남가좌2동,104.5
서울특별시 서대문구 북가좌1동,북가좌1동,76.5
서울특별시 서대문구 북가좌2동,북가좌2동,156.8333333
서울특별시 서대문구 충현동,충현동,94.16666667
서울특별시 서대문구 북아현동,북아현동,60.66666667
서울특별시 서대문구 신촌동,신촌동,53.33333333
서울특별시 서대문구 연희동,연희동,143
서울특별시 마포구 용강동,용강동,67.33333333
서울특별시 마포구 대흥동,대흥동,48
서울특별시 마포구 염리동,염리동,63.33333333
서울특별시 마포구 신수동,신수동,72.33333333
서울특별시 마포구 서교동,서교동,95.83333333
서울특별시 마포구 합정동,합정동,67.16666667
서울특별시 마포구 망원1동,망원1동,100
서울특별시 마포구 망원2동,망원2동,87.5
서울특별시 마포구 연남동,연남동,71
서울특별시 마포구 성산1동,성산1동,78.83333333
서울특별시 마포구 성산2동,성산2동,216.3333333
서울특별시 마포구 상암동,상암동,131.5
서울특별시 마포구 도화동,도화동,98.83333333
서울특별시 마포구 서강동,서강동,70.83333333
서울특별시 마포구 공덕동,공덕동,188.3333333
서울특별시 마포구 아현동,아현동,75
서울특별시 양천구 목1동,목1동,71.5
서울특별시 양천구 목2동,목2동,118.8333333
서울특별시 양천구 목3동,목3동,74
서울특별시 양천구 목4동,목4동,94.83333333
서울특별시 양천구 신월1동,신월1동,127
서울특별시 양천구 신월2동,신월2동,103.3333333
서울특별시 양천구 신월3동,신월3동,89.66666667
