,지역명,동,평균,승차건수
98,서울특별시 중랑구 상봉1동,상봉1동,144.66666669999998,10152.0
99,서울특별시 중랑구 상봉2동,상봉2동,104.33333329999999,5212.0
100,서울특별시 중랑구 중화1동,중화1동,79.5,458.0
101,서울특별시 중랑구 중화2동,중화2동,166.66666669999998,1072.0
102,서울특별시 중랑구 묵1동,묵1동,144.5,17307.0
103,서울특별시 중랑구 묵2동,묵2동,90.33333333,186.0
104,서울특별시 중랑구 망우3동,망우3동,105.66666670000001,5.0
105,서울특별시 중랑구 신내1동,신내1동,184.66666669999998,62834.0
106,서울특별시 중랑구 신내2동,신내2동,129.3333333,13015.0
107,서울특별시 중랑구 면목본동,면목본동,180.5,703.0
108,서울특별시 중랑구 면목3·8동,면목3·8동,133.5,32950.0
109,서울특별시 중랑구 망우본동,망우본동,167.5,17695.0
110,서울특별시 성북구 돈암1동,돈암1동,70.66666667,42.0
111,서울특별시 성북구 돈암2동,돈암2동,76.0,143.0
112,서울특별시 성북구 안암동,안암동,63.5,13012.0
113,서울특별시 성북구 보문동,보문동,67.83333333,466.0
114,서울특별시 성북구 정릉1동,정릉1동,75.0,76.0
115,서울특별시 성북구 정릉2동,정릉2동,100.16666670000001,65.0
116,서울특별시 성북구 정릉3동,정릉3동,79.83333333,147.0
117,서울특별시 성북구 정릉4동,정릉4동,106.5,102.0
118,서울특별시 성북구 길음1동,길음1동,117.83333329999999,41509.0
119,서울특별시 성북구 길음2동,길음2동,55.5,5647.0
120,서울특별시 성북구 월곡1동,월곡1동,120.66666670000001,4060.0
121,서울특별시 성북구 월곡2동,월곡2동,99.16666667,20819.0
122,서울특별시 성북구 장위1동,장위1동,116.83333329999999,1006.0
123,서울특별시 성북구 장위2동,장위2동,75.16666667,667.0
124,서울특별시 성북구 장위3동,장위3동,72.83333333,17.0
125,서울특별시 성북구 성북동,성북동,82.66666667,118.0
126,서울특별시 성북구 삼선동,삼선동,107.5,6862.0
127,서울특별시 성북구 동선동,동선동,94.66666667,805.0
128,서울특별시 성북구 종암동,종암동,151.33333330000002,13101.0
129,서울특별시 성북구 석관동,석관동,195.33333330000002,4345.0
130,서울특별시 강북구 번1동,번1동,117.0,2575.0
131,서울특별시 강북구 번2동,번2동,139.5,32743.0
132,서울특별시 강북구 번3동,번3동,193.33333330000002,38672.0
133,서울특별시 강북구 수유1동,수유1동,201.33333330000002,3462.0
134,서울특별시 강북구 수유2동,수유2동,128.3333333,4630.0
135,서울특별시 강북구 수유3동,수유3동,125.83333329999999,4120.0
136,서울특별시 강북구 삼양동,삼양동,185.66666669999998,2225.0
137,서울특별시 강북구 미아동,미아동,135.5,1219.0
138,서울특별시 강북구 송중동,송중동,160.66666669999998,13285.0
139,서울특별시 강북구 송천동,송천동,172.66666669999998,4914.0
140,서울특별시 강북구 삼각산동,삼각산동,148.0,18378.0
141,서울특별시 강북구 우이동,우이동,104.33333329999999,2336.0
142,서울특별시 강북구 인수동,인수동,188.16666669999998,85260.0
143,서울특별시 도봉구 쌍문1동,쌍문1동,125.0,6344.0
144,서울특별시 도봉구 쌍문2동,쌍문2동,111.16666670000001,1091.0
145,서울특별시 도봉구 쌍문3동,쌍문3동,87.5,18216.0
146,서울특별시 도봉구 쌍문4동,쌍문4동,68.33333333,283.0
147,서울특별시 도봉구 방학1동,방학1동,139.66666669999998,21080.0
148,서울특별시 도봉구 방학2동,방학2동,138.0,166.0
149,서울특별시 도봉구 방학3동,방학3동,97.83333333,4720.0
150,서울특별시 도봉구 창1동,창1동,105.5,14773.0
151,서울특별시 도봉구 창2동,창2동,146.83333330000002,636.0
152,서울특별시 도봉구 창3동,창3동,85.0,575.0
153,서울특별시 도봉구 창4동,창4동,105.83333329999999,11986.0
154,서울특별시 도봉구 창5동,창5동,109.0,4789.0
155,서울특별시 도봉구 도봉1동,도봉1동,151.0,4756.0
156,서울특별시 도봉구 도봉2동,도봉2동,156.5,46596.0
157,서울특별시 노원구 월계1동,월계1동,91.83333333,16777.0
158,서울특별시 노원구 월계2동,월계2동,203.66666669999998,44518.0
159,서울특별시 노원구 월계3동,월계3동,192.0,36457.0
160,서울특별시 노원구 공릉2동,공릉2동,150.16666669999998,17298.0
161,서울특별시 노원구 하계1동,하계1동,190.83333330000002,132641.0
162,서울특별시 노원구 하계2동,하계2동,108.5,4365.0
163,서울특별시 노원구 중계본동,중계본동,67.5,1408.0
164,서울특별시 노원구 중계1동,중계1동,78.5,11400.0
165,서울특별시 노원구 중계4동,중계4동,147.66666669999998,18949.0
166,서울특별시 노원구 상계1동,상계1동,236.16666669999998,35463.0
167,서울특별시 노원구 상계2동,상계2동,87.16666667,38468.0
168,서울특별시 노원구 상계5동,상계5동,145.5,370.0
169,서울특별시 노원구 상계8동,상계8동,97.0,72.0
170,서울특별시 노원구 상계9동,상계9동,77.33333333,105.0
171,서울특별시 노원구 상계10동,상계10동,51.33333333,478.0
172,서울특별시 노원구 상계3·4동,상계3·4동,178.5,17776.0
173,서울특별시 노원구 상계6·7동,상계6·7동,141.0,137882.0
174,서울특별시 노원구 중계2·3동,중계2·3동,321.6666667,54306.0
175,서울특별시 노원구 공릉1동,공릉1동,213.66666669999998,0.0
176,서울특별시 은평구 녹번동,녹번동,165.33333330000002,2476.0
177,서울특별시 은평구 불광1동,불광1동,207.83333330000002,2622.0
178,서울특별시 은평구 갈현1동,갈현1동,126.83333329999999,243.0
179,서울특별시 은평구 갈현2동,갈현2동,138.5,1356.0
180,서울특별시 은평구 구산동,구산동,148.16666669999998,46107.0
